Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2023 - 2024,2024 Fall,UGRD,UGRD,Aida,Allen,,MATH,1301,500,32,47,37,7,16,0,0,0,9,0,0,148
2023 - 2024,2024 Fall,UGRD,UGRD,Austin,Allen,,UDES,1301,001,23,0,0,0,0,0,0,0,0,0,0,23
2023 - 2024,2024 Fall,UGRD,UGRD,Austin,Allen,,ARCH,4353,001,16,0,0,0,0,0,0,0,0,0,0,16
2023 - 2024,2024 Fall,GRAD,GRAD,Austin,Allen,,LARC,5312,001,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Taren,Allen,,SOCW,2361,004,18,6,0,0,0,0,0,0,0,0,0,24
2023 - 2024,2024 Fall,UGRD,UGRD,Taren,Allen,,SOCW,3307,005,16,0,0,0,0,0,0,0,0,0,0,16
2023 - 2024,2024 Fall,GRAD,GRAD,Taren,Allen,,SOCW,5381,001,54,0,0,0,0,0,0,0,0,0,0,54
2023 - 2024,2024 Fall,UGRD,UGRD,Victor,Allen,,SOCW,3301,001,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Victor,Allen,,SOCW,5360,001,6,0,0,0,0,0,0,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Thomas,Allsup,,MAE,3183,001,0,8,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Thomas,Allsup,,MAE,3183,002,0,12,0,0,0,0,0,0,0,0,0,12
2023 - 2024,2024 Fall,UGRD,UGRD,Thomas,Allsup,,MAE,4329,001,0,14,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Abeer,Almughrabi,,CM,4337,101,20,0,0,0,0,0,0,0,0,0,0,20
2023 - 2024,2024 Fall,UGRD,UGRD,Tahani,Altaji,,MATH,1301,003,31,10,0,0,0,0,0,0,0,0,0,41
2023 - 2024,2024 Fall,UGRD,UGRD,Tahani,Altaji,,MATH,1301,012,29,11,0,0,0,0,0,0,0,0,0,40
2023 - 2024,2024 Fall,UGRD,UGRD,Edwin,Altomare,,FINA,4318,001,17,8,0,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,UGRD,UGRD,Edwin,Altomare,,FINA,4324,002,9,8,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,UGRD,UGRD,Atieno,Amadi,,INSY,3304,004,0,11,15,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,UGRD,UGRD,Atieno,Amadi,,INSY,3305,002,0,31,20,0,0,0,0,0,0,0,0,51
2023 - 2024,2024 Fall,UGRD,UGRD,Atieno,Amadi,,INSY,4325,001,8,40,16,0,0,0,0,0,0,0,0,64
2023 - 2024,2024 Fall,UGRD,UGRD,Atieno,Amadi,,INSY,4325,003,9,35,17,0,0,0,0,0,0,0,0,61
2023 - 2024,2024 Fall,UGRD,UGRD,Amanda,Aman,,ARCH,3343,005,7,7,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Amanda,Aman,,ARCH,4556,005,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Giridhar,Amaravadi,,CSE,3314,001,39,8,0,0,0,0,0,0,0,0,0,47
2023 - 2024,2024 Fall,UGRD,UGRD,Giridhar,Amaravadi,,CSE,3314,005,48,0,0,0,0,0,0,0,0,0,0,48
2023 - 2024,2024 Fall,GRAD,GRAD,Giridhar,Amaravadi,,CSE,5321,220,13,0,0,0,0,0,0,0,0,0,0,13
2023 - 2024,2024 Fall,GRAD,GRAD,Giridhar,Amaravadi,,CSE,5325,001,57,0,0,0,0,0,0,0,0,0,0,57
2023 - 2024,2024 Fall,GRAD,GRAD,Giridhar,Amaravadi,,CSE,5325,220,18,0,0,0,0,0,0,0,0,0,0,18
2023 - 2024,2024 Fall,UGRD,UGRD,Miguel,Amaya,,MAE,1107,001,9,19,8,0,0,0,0,0,0,0,0,36
2023 - 2024,2024 Fall,UGRD,UGRD,Miguel,Amaya,,MAE,1107,002,30,7,0,0,0,0,0,0,0,0,0,37
2023 - 2024,2024 Fall,UGRD,UGRD,Miguel,Amaya,,MAE,1107,003,22,16,0,0,0,0,0,0,0,0,0,38
2023 - 2024,2024 Fall,UGRD,UGRD,Miguel,Amaya,,MAE,1107,004,30,7,0,0,0,0,0,0,0,0,0,37
2023 - 2024,2024 Fall,UGRD,UGRD,Miguel,Amaya,,MAE,1107,006,11,14,0,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,UGRD,UGRD,Gaik,Ambartsoumian,,MATH,1315,088,0,15,16,14,20,0,0,0,13,0,0,78
2023 - 2024,2024 Fall,UGRD,UGRD,Saurabh,Ambulkar,,OPMA,3306,006,6,20,29,9,0,0,0,0,0,0,0,64
2023 - 2024,2024 Fall,UGRD,UGRD,Saurabh,Ambulkar,,OPMA,4310,001,0,8,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Aaron,Ameri,,MAE,2381,001,8,39,12,0,0,0,0,0,0,0,0,59
2023 - 2024,2024 Fall,UGRD,UGRD,Aaron,Ameri,,MAE,2381,005,7,21,20,7,0,0,0,0,7,0,0,62
2023 - 2024,2024 Fall,GRAD,GRAD,Nora,Ameri,,ME,5328,001,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Kim,Amyett,,ENGL,1301,005,8,13,0,0,0,0,0,0,0,0,0,21
